time,ongoing_trips,date_snapshot
2025-02-25 22:00:00,26,20250225
2025-02-25 23:00:00,11,20250225
2025-02-26 00:00:00,2,20250225
2025-02-26 01:00:00,0,20250225
2025-02-26 02:00:00,0,20250225
2025-02-26 03:00:00,0,20250225
2025-02-26 04:00:00,0,20250225
2025-02-26 05:00:00,11,20250225
2025-02-26 06:00:00,74,20250225
2025-02-26 07:00:00,133,20250225
2025-02-26 08:00:00,143,20250225
2025-02-26 09:00:00,140,20250225
2025-02-26 10:00:00,119,20250225
2025-02-26 11:00:00,103,20250225
2025-02-26 12:00:00,84,20250225
2025-02-26 13:00:00,70,20250225
2025-02-26 14:00:00,71,20250225
2025-02-26 15:00:00,97,20250225
2025-02-26 16:00:00,138,20250225
2025-02-26 17:00:00,156,20250225
2025-02-26 18:00:00,149,20250225
2025-02-26 19:00:00,130,20250225
2025-02-26 20:00:00,113,20250225
2025-02-26 21:00:00,77,20250225
2025-02-26 22:00:00,48,20250225
2025-02-26 23:00:00,23,20250225
2025-02-27 00:00:00,5,20250225
2025-02-27 01:00:00,1,20250225
2025-02-27 02:00:00,0,20250225
2025-02-27 03:00:00,0,20250225
2025-02-27 04:00:00,0,20250225
2025-02-27 05:00:00,11,20250225
2025-02-27 06:00:00,77,20250225
2025-02-27 07:00:00,128,20250225
2025-02-27 08:00:00,150,20250225
2025-02-27 09:00:00,144,20250225
2025-02-27 10:00:00,122,20250225
2025-02-27 11:00:00,112,20250225
2025-02-27 12:00:00,95,20250225
2025-02-27 13:00:00,77,20250225
2025-02-27 14:00:00,83,20250225
2025-02-27 15:00:00,103,20250225
2025-02-27 16:00:00,147,20250225
2025-02-27 17:00:00,163,20250225
2025-02-27 18:00:00,153,20250225
2025-02-27 19:00:00,135,20250225
2025-02-27 20:00:00,121,20250225
2025-02-27 21:00:00,82,20250225
2025-02-27 22:00:00,52,20250225
2025-02-27 23:00:00,22,20250225
2025-02-28 00:00:00,5,20250225
2025-02-28 01:00:00,1,20250225
2025-02-28 02:00:00,0,20250225
2025-02-28 03:00:00,0,20250225
2025-02-28 04:00:00,0,20250225
2025-02-28 05:00:00,18,20250225
2025-02-28 06:00:00,120,20250225
2025-02-28 07:00:00,195,20250225
2025-02-28 08:00:00,214,20250225
2025-02-28 09:00:00,204,20250225
2025-02-28 10:00:00,181,20250225
2025-02-28 11:00:00,156,20250225
2025-02-28 12:00:00,127,20250225
2025-02-28 13:00:00,99,20250225
2025-02-28 14:00:00,106,20250225
2025-02-28 15:00:00,136,20250225
2025-02-28 16:00:00,186,20250225
2025-02-28 17:00:00,209,20250225
2025-02-28 18:00:00,204,20250225
2025-02-28 19:00:00,192,20250225
2025-02-28 20:00:00,169,20250225
2025-02-28 21:00:00,118,20250225
2025-02-28 22:00:00,73,20250225
2025-02-28 23:00:00,34,20250225
2025-03-01 00:00:00,9,20250225
2025-03-01 01:00:00,3,20250225
2025-03-01 02:00:00,0,20250225
2025-03-01 03:00:00,0,20250225
2025-03-01 04:00:00,0,20250225
2025-03-01 05:00:00,5,20250225
2025-03-01 06:00:00,29,20250225
2025-03-01 07:00:00,97,20250225
2025-03-01 08:00:00,118,20250225
2025-03-01 09:00:00,134,20250225
2025-03-01 10:00:00,129,20250225
2025-03-01 11:00:00,131,20250225
2025-03-01 12:00:00,117,20250225
2025-03-01 13:00:00,102,20250225
2025-03-01 14:00:00,95,20250225
2025-03-01 15:00:00,104,20250225
2025-03-01 16:00:00,114,20250225
2025-03-01 17:00:00,120,20250225
2025-03-01 18:00:00,124,20250225
2025-03-01 19:00:00,136,20250225
2025-03-01 20:00:00,124,20250225
2025-03-01 21:00:00,123,20250225
2025-03-01 22:00:00,89,20250225
2025-03-01 23:00:00,55,20250225
2025-03-02 00:00:00,18,20250225
2025-03-02 01:00:00,3,20250225
2025-03-02 02:00:00,0,20250225
2025-03-02 03:00:00,0,20250225
2025-03-02 04:00:00,0,20250225
2025-03-02 05:00:00,5,20250225
2025-03-02 06:00:00,29,20250225
2025-03-02 07:00:00,91,20250225
2025-03-02 08:00:00,112,20250225
2025-03-02 09:00:00,127,20250225
2025-03-02 10:00:00,121,20250225
2025-03-02 11:00:00,121,20250225
2025-03-02 12:00:00,107,20250225
2025-03-02 13:00:00,93,20250225
2025-03-02 14:00:00,89,20250225
2025-03-02 15:00:00,99,20250225
2025-03-02 16:00:00,112,20250225
2025-03-02 17:00:00,119,20250225
2025-03-02 18:00:00,124,20250225
2025-03-02 19:00:00,132,20250225
2025-03-02 20:00:00,124,20250225
2025-03-02 21:00:00,122,20250225
2025-03-02 22:00:00,91,20250225
2025-03-02 23:00:00,57,20250225
2025-03-03 00:00:00,18,20250225
2025-03-03 01:00:00,2,20250225
2025-03-03 02:00:00,0,20250225
2025-03-03 03:00:00,0,20250225
2025-03-03 04:00:00,0,20250225
2025-03-03 05:00:00,60,20250225
2025-03-03 06:00:00,204,20250225
2025-03-03 07:00:00,319,20250225
2025-03-03 08:00:00,324,20250225
2025-03-03 09:00:00,266,20250225
2025-03-03 10:00:00,264,20250225
2025-03-03 11:00:00,262,20250225
2025-03-03 12:00:00,262,20250225
2025-03-03 13:00:00,264,20250225
2025-03-03 14:00:00,268,20250225
2025-03-03 15:00:00,264,20250225
2025-03-03 16:00:00,281,20250225
2025-03-03 17:00:00,335,20250225
2025-03-03 18:00:00,318,20250225
2025-03-03 19:00:00,278,20250225
2025-03-03 20:00:00,257,20250225
2025-03-03 21:00:00,235,20250225
2025-03-03 22:00:00,202,20250225
2025-03-03 23:00:00,134,20250225
2025-03-04 00:00:00,39,20250225
2025-03-04 01:00:00,4,20250225
2025-03-04 02:00:00,0,20250225
2025-03-04 03:00:00,0,20250225
2025-03-04 04:00:00,0,20250225
2025-03-04 05:00:00,60,20250225
2025-03-04 06:00:00,204,20250225
2025-03-04 07:00:00,319,20250225
2025-03-04 08:00:00,324,20250225
2025-03-04 09:00:00,265,20250225
2025-03-04 10:00:00,264,20250225
2025-03-04 11:00:00,262,20250225
2025-03-04 12:00:00,262,20250225
2025-03-04 13:00:00,263,20250225
2025-03-04 14:00:00,267,20250225
2025-03-04 15:00:00,264,20250225
2025-03-04 16:00:00,281,20250225
2025-03-04 17:00:00,335,20250225
2025-03-04 18:00:00,318,20250225
2025-03-04 19:00:00,279,20250225
2025-03-04 20:00:00,256,20250225
2025-03-04 21:00:00,235,20250225
2025-03-04 22:00:00,202,20250225
2025-03-04 23:00:00,134,20250225
2025-03-05 00:00:00,39,20250225
2025-03-05 01:00:00,4,20250225
2025-03-05 02:00:00,0,20250225
2025-03-05 03:00:00,0,20250225
2025-03-05 04:00:00,0,20250225
2025-03-05 05:00:00,60,20250225
2025-03-05 06:00:00,204,20250225
2025-03-05 07:00:00,319,20250225
2025-03-05 08:00:00,324,20250225
2025-03-05 09:00:00,266,20250225
2025-03-05 10:00:00,264,20250225
2025-03-05 11:00:00,262,20250225
2025-03-05 12:00:00,262,20250225
2025-03-05 13:00:00,272,20250225
2025-03-05 14:00:00,268,20250225
2025-03-05 15:00:00,264,20250225
2025-03-05 16:00:00,281,20250225
2025-03-05 17:00:00,336,20250225
2025-03-05 18:00:00,319,20250225
2025-03-05 19:00:00,278,20250225
2025-03-05 20:00:00,257,20250225
2025-03-05 21:00:00,235,20250225
2025-03-05 22:00:00,202,20250225
2025-03-05 23:00:00,134,20250225
2025-03-06 00:00:00,39,20250225
2025-03-06 01:00:00,3,20250225
2025-03-06 02:00:00,0,20250225
2025-02-26 04:00:00,0,20250226
2025-02-26 05:00:00,11,20250226
2025-02-26 06:00:00,73,20250226
2025-02-26 07:00:00,128,20250226
2025-02-26 08:00:00,140,20250226
2025-02-26 09:00:00,138,20250226
2025-02-26 10:00:00,118,20250226
2025-02-26 11:00:00,102,20250226
2025-02-26 12:00:00,84,20250226
2025-02-26 13:00:00,67,20250226
2025-02-26 14:00:00,70,20250226
2025-02-26 15:00:00,99,20250226
2025-02-26 16:00:00,136,20250226
2025-02-26 17:00:00,151,20250226
2025-02-26 18:00:00,146,20250226
2025-02-26 19:00:00,126,20250226
2025-02-26 20:00:00,109,20250226
2025-02-26 21:00:00,76,20250226
2025-02-26 22:00:00,44,20250226
2025-02-26 23:00:00,20,20250226
2025-02-27 00:00:00,5,20250226
2025-02-27 01:00:00,1,20250226
2025-02-27 02:00:00,0,20250226
2025-02-27 03:00:00,0,20250226
2025-02-27 04:00:00,0,20250226
2025-02-27 05:00:00,11,20250226
2025-02-27 06:00:00,65,20250226
2025-02-27 07:00:00,113,20250226
2025-02-27 08:00:00,125,20250226
2025-02-27 09:00:00,119,20250226
2025-02-27 10:00:00,105,20250226
2025-02-27 11:00:00,96,20250226
2025-02-27 12:00:00,86,20250226
2025-02-27 13:00:00,68,20250226
2025-02-27 14:00:00,69,20250226
2025-02-27 15:00:00,96,20250226
2025-02-27 16:00:00,138,20250226
2025-02-27 17:00:00,150,20250226
2025-02-27 18:00:00,143,20250226
2025-02-27 19:00:00,125,20250226
2025-02-27 20:00:00,110,20250226
2025-02-27 21:00:00,74,20250226
2025-02-27 22:00:00,46,20250226
2025-02-27 23:00:00,20,20250226
2025-02-28 00:00:00,5,20250226
2025-02-28 01:00:00,1,20250226
2025-02-28 02:00:00,0,20250226
2025-02-28 03:00:00,0,20250226
2025-02-28 04:00:00,0,20250226
2025-02-28 05:00:00,12,20250226
2025-02-28 06:00:00,87,20250226
2025-02-28 07:00:00,148,20250226
2025-02-28 08:00:00,163,20250226
2025-02-28 09:00:00,153,20250226
2025-02-28 10:00:00,137,20250226
2025-02-28 11:00:00,118,20250226
2025-02-28 12:00:00,93,20250226
2025-02-28 13:00:00,75,20250226
2025-02-28 14:00:00,76,20250226
2025-02-28 15:00:00,98,20250226
2025-02-28 16:00:00,144,20250226
2025-02-28 17:00:00,169,20250226
2025-02-28 18:00:00,160,20250226
2025-02-28 19:00:00,148,20250226
2025-02-28 20:00:00,126,20250226
2025-02-28 21:00:00,85,20250226
2025-02-28 22:00:00,56,20250226
2025-02-28 23:00:00,25,20250226
2025-03-01 00:00:00,9,20250226
2025-03-01 01:00:00,3,20250226
2025-03-01 02:00:00,0,20250226
2025-03-01 03:00:00,0,20250226
2025-03-01 04:00:00,0,20250226
2025-03-01 05:00:00,5,20250226
2025-03-01 06:00:00,29,20250226
2025-03-01 07:00:00,92,20250226
2025-03-01 08:00:00,116,20250226
2025-03-01 09:00:00,131,20250226
2025-03-01 10:00:00,126,20250226
2025-03-01 11:00:00,126,20250226
2025-03-01 12:00:00,113,20250226
2025-03-01 13:00:00,99,20250226
2025-03-01 14:00:00,91,20250226
2025-03-01 15:00:00,99,20250226
2025-03-01 16:00:00,112,20250226
2025-03-01 17:00:00,117,20250226
2025-03-01 18:00:00,122,20250226
2025-03-01 19:00:00,134,20250226
2025-03-01 20:00:00,122,20250226
2025-03-01 21:00:00,119,20250226
2025-03-01 22:00:00,87,20250226
2025-03-01 23:00:00,51,20250226
2025-03-02 00:00:00,18,20250226
2025-03-02 01:00:00,3,20250226
2025-03-02 02:00:00,0,20250226
2025-03-02 03:00:00,0,20250226
2025-03-02 04:00:00,0,20250226
2025-03-02 05:00:00,5,20250226
2025-03-02 06:00:00,29,20250226
2025-03-02 07:00:00,91,20250226
2025-03-02 08:00:00,113,20250226
